;NU_ANO_CENSO;SG_IES;CO_IES;NO_CURSO;TP_ORGANIZACAO_ACADEMICA;TP_REDE;NO_CINE_ROTULO;NO_CINE_AREA_GERAL;NO_CINE_AREA_ESPECIFICA;NO_CINE_AREA_DETALHADA;TP_GRAU_ACADEMICO;IN_GRATUITO;TP_MODALIDADE_ENSINO;TP_NIVEL_ACADEMICO;QT_VG_TOTAL;QT_ING_ENEM;QT_ING_VESTIBULAR;QT_VG_TOTAL_DIURNO;QT_VG_TOTAL_NOTURNO;QT_MAT;QT_MAT_FEM;QT_MAT_MASC;QT_MAT_DIURNO;QT_MAT_NOTURNO;QT_MAT_0_17;QT_MAT_18_24;QT_MAT_25_29;QT_MAT_30_34;QT_MAT_35_39;QT_MAT_40_49;QT_MAT_50_59;QT_MAT_60_MAIS;QT_MAT_BRANCA;QT_MAT_PRETA;QT_MAT_PARDA;QT_MAT_AMARELA;QT_MAT_INDIGENA;QT_MAT_CORND;QT_CONC;QT_CONC_FEM;QT_CONC_MASC;QT_CONC_DIURNO;QT_CONC_NOTURNO;QT_CONC_0_17;QT_CONC_18_24;QT_CONC_25_29;QT_CONC_30_34;QT_CONC_35_39;QT_CONC_40_49;QT_CONC_50_59;QT_CONC_60_MAIS;QT_CONC_BRANCA;QT_CONC_PRETA;QT_CONC_PARDA;QT_CONC_AMARELA;QT_CONC_INDIGENA;QT_CONC_CORND;QT_MAT_NACESTRANG;QT_CONC_NACESTRANG;QT_MAT_DEFICIENTE;QT_CONC_DEFICIENTE;QT_MAT_FINANC;QT_CONC_FINANC;QT_MAT_PROCESCPUBLICA;QT_MAT_PROCESCPRIVADA;QT_MAT_PROCNAOINFORMADA;QT_CONC_PROCESCPUBLICA;QT_CONC_PROCESCPRIVADA;QT_CONC_PROCNAOINFORMADA
25;2018;UNB;2;ARTES PLASTICAS;UNIVERSIDADE;PUBLICA;ARTES PLASTICAS;ARTES E HUMANIDADES;ARTES;BELAS ARTES;BACHARELADO;SIM;PRESENCIAL;GRADUACAO;4.0;0.0;0.0;4.0;0.0;143.0;91.0;52.0;143.0;0.0;0.0;96.0;26.0;6.0;2.0;6.0;6.0;1.0;82.0;9.0;30.0;4.0;1.0;17.0;32.0;25.0;7.0;32.0;0.0;0.0;14.0;11.0;4.0;0.0;0.0;3.0;0.0;18.0;2.0;8.0;1.0;0.0;3.0;2.0;1.0;0.0;0.0;0.0;0.0;42.0;101.0;0.0;14.0;18.0;0.0
26;2018;UNB;2;BIBLIOTECONOMIA;UNIVERSIDADE;PUBLICA;BIBLIOTECONOMIA;CIENCIAS SOCIAIS, COMUNICACAO E INFORMACAO;COMUNICACAO E INFORMACAO;CIENCIA DA INFORMACAO E MUSEOLOGIA;BACHARELADO;SIM;PRESENCIAL;GRADUACAO;84.0;20.0;24.0;84.0;0.0;350.0;238.0;112.0;350.0;0.0;1.0;273.0;41.0;17.0;7.0;7.0;3.0;1.0;112.0;42.0;130.0;5.0;2.0;59.0;54.0;34.0;20.0;54.0;0.0;0.0;33.0;12.0;5.0;1.0;2.0;1.0;0.0;22.0;4.0;23.0;2.0;1.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;203.0;147.0;0.0;29.0;25.0;0.0
27;2018;UNB;2;BIOTECNOLOGIA;UNIVERSIDADE;PUBLICA;BIOTECNOLOGIA;CIENCIAS NATURAIS, MATEMATICA E ESTATISTICA;CIENCIAS BIOLOGICAS E CORRELATAS;BIOQUIMICA E BIOTECNOLOGIA;BACHARELADO;SIM;PRESENCIAL;GRADUACAO;86.0;20.0;20.0;86.0;0.0;284.0;170.0;114.0;284.0;0.0;1.0;267.0;14.0;1.0;0.0;0.0;1.0;0.0;101.0;13.0;123.0;7.0;0.0;40.0;37.0;21.0;16.0;37.0;0.0;0.0;33.0;4.0;0.0;0.0;0.0;0.0;0.0;17.0;0.0;19.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;112.0;172.0;0.0;8.0;29.0;0.0
28;2018;UNB;2;CIENCIA DA COMPUTACAO;UNIVERSIDADE;PUBLICA;CIENCIA DA COMPUTACAO;COMPUTACAO E TECNOLOGIAS DA INFORMACAO E COMUNICACAO (TIC);COMPUTACAO E TECNOLOGIAS DA INFORMACAO E COMUNICACAO (TIC);CIENCIA DA COMPUTACAO;BACHARELADO;SIM;PRESENCIAL;GRADUACAO;109.0;19.0;20.0;109.0;0.0;348.0;35.0;313.0;348.0;0.0;2.0;284.0;47.0;8.0;6.0;1.0;0.0;0.0;168.0;24.0;112.0;9.0;0.0;35.0;36.0;4.0;32.0;36.0;0.0;0.0;23.0;11.0;2.0;0.0;0.0;0.0;0.0;24.0;1.0;6.0;3.0;0.0;2.0;2.0;1.0;2.0;0.0;0.0;0.0;134.0;214.0;0.0;9.0;27.0;0.0
29;2018;UNB;2;CIENCIA POLITICA;UNIVERSIDADE;PUBLICA;CIENCIA POLITICA;CIENCIAS SOCIAIS, COMUNICACAO E INFORMACAO;CIENCIAS SOCIAIS E COMPORTAMENTAIS;CIENCIAS SOCIAIS E POLITICAS;BACHARELADO;SIM;PRESENCIAL;GRADUACAO;117.0;21.0;27.0;117.0;0.0;471.0;249.0;222.0;471.0;0.0;0.0;393.0;41.0;8.0;11.0;14.0;4.0;0.0;179.0;62.0;156.0;0.0;4.0;70.0;95.0;51.0;44.0;95.0;0.0;0.0;62.0;22.0;2.0;3.0;4.0;2.0;0.0;48.0;9.0;34.0;0.0;1.0;3.0;9.0;5.0;4.0;0.0;0.0;0.0;206.0;265.0;0.0;24.0;71.0;0.0
30;2018;UNB;2;CIENCIAS AMBIENTAIS;UNIVERSIDADE;PUBLICA;CIENCIAS AMBIENTAIS;CIENCIAS NATURAIS, MATEMATICA E ESTATISTICA;MEIO AMBIENTE;CIENCIAS AMBIENTAIS;BACHARELADO;SIM;PRESENCIAL;GRADUACAO;86.0;21.0;20.0;0.0;86.0;297.0;175.0;122.0;0.0;297.0;0.0;211.0;47.0;16.0;7.0;6.0;7.0;3.0;123.0;20.0;104.0;8.0;0.0;42.0;29.0;19.0;10.0;0.0;29.0;0.0;8.0;17.0;1.0;0.0;1.0;0.0;2.0;15.0;0.0;10.0;3.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;127.0;170.0;0.0;11.0;18.0;0.0
31;2018;UNB;2;CIENCIAS BIOLOGICAS;UNIVERSIDADE;PUBLICA;BIOLOGIA FORMACAO DE PROFESSOR;EDUCACAO;EDUCACAO;FORMACAO DE PROFESSORES EM AREAS ESPECIFICAS (EXCETO LETRAS);LICENCIATURA;SIM;PRESENCIAL;GRADUACAO;128.0;20.0;20.0;0.0;128.0;414.0;239.0;175.0;0.0;414.0;0.0;328.0;59.0;5.0;14.0;7.0;1.0;0.0;178.0;30.0;154.0;6.0;0.0;46.0;59.0;38.0;21.0;0.0;59.0;0.0;30.0;22.0;2.0;2.0;2.0;1.0;0.0;30.0;5.0;20.0;1.0;0.0;3.0;1.0;1.0;1.0;0.0;0.0;0.0;181.0;233.0;0.0;17.0;42.0;0.0
32;2018;UNB;2;CIENCIAS BIOLOGICAS;UNIVERSIDADE;PUBLICA;BIOLOGIA;CIENCIAS NATURAIS, MATEMATICA E ESTATISTICA;CIENCIAS BIOLOGICAS E CORRELATAS;BIOLOGIA;BACHARELADO;SIM;PRESENCIAL;GRADUACAO;125.0;20.0;20.0;125.0;0.0;375.0;233.0;142.0;375.0;0.0;5.0;322.0;37.0;7.0;1.0;1.0;2.0;0.0;139.0;33.0;137.0;7.0;4.0;55.0;84.0;52.0;32.0;84.0;0.0;0.0;58.0;22.0;3.0;0.0;1.0;0.0;0.0;43.0;6.0;30.0;2.0;0.0;3.0;3.0;1.0;1.0;0.0;0.0;0.0;169.0;206.0;0.0;28.0;56.0;0.0
33;2018;UNB;2;CIENCIAS CONTABEIS;UNIVERSIDADE;PUBLICA;CONTABILIDADE;NEGOCIOS, ADMINISTRACAO E DIREITO;NEGOCIOS E ADMINISTRACAO;CONTABILIDADE E TRIBUTACAO;BACHARELADO;SIM;PRESENCIAL;GRADUACAO;153.0;36.0;35.0;153.0;0.0;532.0;259.0;273.0;532.0;0.0;4.0;485.0;30.0;7.0;4.0;2.0;0.0;0.0;192.0;33.0;208.0;14.0;1.0;84.0;56.0;33.0;23.0;56.0;0.0;0.0;47.0;7.0;1.0;1.0;0.0;0.0;0.0;24.0;4.0;22.0;4.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;240.0;292.0;0.0;21.0;35.0;0.0
34;2018;UNB;2;CIENCIAS CONTABEIS;UNIVERSIDADE;PUBLICA;CONTABILIDADE;NEGOCIOS, ADMINISTRACAO E DIREITO;NEGOCIOS E ADMINISTRACAO;CONTABILIDADE E TRIBUTACAO;BACHARELADO;SIM;PRESENCIAL;GRADUACAO;140.0;31.0;30.0;0.0;140.0;571.0;227.0;344.0;0.0;571.0;2.0;389.0;96.0;45.0;19.0;16.0;4.0;0.0;213.0;40.0;238.0;16.0;2.0;62.0;98.0;45.0;53.0;0.0;98.0;0.0;54.0;30.0;5.0;7.0;2.0;0.0;0.0;47.0;6.0;41.0;3.0;1.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;263.0;308.0;0.0;41.0;57.0;0.0
